Journal,Total_Citations,Mean_Citations,N_Papers,N_Genera
Functional Plant Biology,390,78.0,5,3
Fungal Biology,466,23.3,20,10
Fungal Diversity,38,19.0,2,1
Fungal Ecology,15,7.5,2,2
Fungal Genetics and Biology,170,85.0,2,2
"G3: Genes, Genomes, Genetics",60,10.0,6,4
GCB Bioenergy,23,23.0,1,1
GSC Biological and Pharmaceutical Sciences,0,0.0,1,1
Gene,652,28.347826086956523,23,7
Gene Reports,4,1.3333333333333333,3,1
Genes,153,11.76923076923077,13,5
Genes & Genomics,34,11.333333333333334,3,2
Genetic Resources and Crop Evolution,276,15.333333333333334,18,4
Genetica,74,12.333333333333334,6,3
Genetics,377,75.4,5,4
Genetics Selection Evolution,1,1.0,1,1
Genetics and Molecular Biology,47,11.75,4,3
Genetics and Molecular Research,44,5.5,8,4
Genetika,0,0.0,3,2
Genome,892,28.774193548387096,31,6
Genome Biology,747,124.5,6,3
Genome Biology and Evolution,164,54.666666666666664,3,3
Genomics,84,21.0,4,2
Geoderma,61,20.333333333333332,3,1
Gesunde Pflanzen,60,4.0,15,3
Ghana Journal of Agricultural Science,0,0.0,1,1
Glasnik zaÂtite bilja,0,0.0,1,1
Glasnik zaÃÂ¡tite bilja,0,0.0,1,1
Global Change Biology,207,51.75,4,3
Global Journal Of Botanical Science,2,2.0,1,1
Global Journal of Agricultural Innovation Research & Development,1,1.0,1,1
Global Journal of Agricultural Sciences,3,3.0,1,1
Glycoconjugate Journal,50,25.0,2,1
Grass and Forage Science,128,32.0,4,3
Green Chemistry Letters and Reviews,4,1.3333333333333333,3,1
Guang pu,6,6.0,1,1
GÃÂ¼mÃÂ¼ÃÂhane ÃÂniversitesi Fen Bilimleri EnstitÃÂ¼sÃÂ¼ Dergisi,1,1.0,1,1
HAYATI Journal of Biosciences,18,6.0,3,2
Harran TarÃÂ±m ve GÃÂ±da Bilimleri Dergisi,0,0.0,2,2
Heliyon,9,1.8,5,4
Hellenic Plant Protection Journal,72,6.0,12,3
Helminthologia,563,8.159420289855072,69,15
Hereditas,17,17.0,1,1
Heredity,221,31.571428571428573,7,4
Hilgardia,42,14.0,3,2
Holos,0,0.0,1,1
Homeopathy,25,12.5,2,1
HortScience,1014,6.71523178807947,151,11
HortTechnology,146,7.684210526315789,19,6
Horticultura Brasileira,219,4.760869565217392,46,5
Horticulturae,29,2.9,10,4
Horticultural Plant Journal,0,0.0,1,1
Horticultural Research (Japan),5,1.6666666666666667,3,3
Horticultural Studies,6,3.0,2,1
Horticulture Research,32,16.0,2,2
Horticulture Research Journal,0,0.0,2,1
"Horticulture, Environment, and Biotechnology",52,10.4,5,3
Hydrobiologia,6,6.0,1,1
IAWA Journal,23,23.0,1,1
IEEJ Transactions on Sensors and Micromachines,0,0.0,2,1
IMA Fungus,2,1.0,2,1
INA-Rxiv,0,0.0,1,1
IOP Conference Series Earth and Environmental Science,18,1.125,16,6
IRAQI JOURNAL OF AGRICULTURAL SCIENCES,3,1.5,2,1
Idesia (Arica),6,2.0,3,2
Ife Journal of Science,2,2.0,1,1
In Vitro Cellular & Developmental Biology - Plant,9,9.0,1,1
Indian Journal Of Applied Research,0,0.0,1,1
Indian Journal of Agricultural Research,6,1.2,5,1
Indian Journal of Experimental Biology,40,10.0,4,3
Indian Journal of Forestry,0,0.0,1,1
Indian Journal of Genetics and Plant Breeding (The),7,7.0,1,1
Indian Journal of Microbiology,28,14.0,2,2
Indian Phytopathology,150,3.0,50,4
Indonesian Journal of Agricultural Science,0,0.0,2,1
Indonesian Journal of Biotechnology,1,1.0,1,1
Industrial Crops and Products,482,15.548387096774194,31,6
Infection Genetics and Evolution,43,8.6,5,3
InformaciÃÂ³n tecnolÃÂ³gica,0,0.0,1,1
Insect Biochemistry and Molecular Biology,45,45.0,1,1
Insect Molecular Biology,76,38.0,2,1
Insect Science,63,10.5,6,1
Insects,72,6.545454545454546,11,2
Integrated Pest Management Reviews,74,37.0,2,2
Integrative Zoology,6,6.0,1,1
Interdepartmental Thematic Scientific Collection of Plant Protection and Quarantine,0,0.0,5,4
International Annals of Science,1,1.0,1,1
International Biodeterioration & Biodegradation,71,35.5,2,2
International Journal for Innovation Education and Research,0,0.0,2,1
International Journal for Parasitology,1399,25.90740740740741,54,9
International Journal of Acarology,8,4.0,2,1
International Journal of Agricultural Research,35,8.75,4,1
International Journal of Agricultural Research Innovation and Technology,0,0.0,1,1
International Journal of Agricultural Sciences,0,0.0,1,1
International Journal of Agricultural and Applied Sciences,1,1.0,1,1
International Journal of Agriculture Environment and Food Sciences,12,1.7142857142857142,7,3
International Journal of Agriculture and Biology,3,1.5,2,2
International Journal of Agronomy,63,9.0,7,4
International Journal of Bio-resource and Stress Management,2,1.0,2,2
International Journal of Biological Macromolecules,46,5.111111111111111,9,4
International Journal of Biological Sciences,162,32.4,5,2
International Journal of Biological and Chemical Sciences,1,0.5,2,2
International Journal of Biology,0,0.0,1,1
International Journal of Botany,18,9.0,2,1
International Journal of Chemical Studies,2,0.2222222222222222,9,1
International Journal of Current Microbiology and Applied Sciences,2,0.5,4,2
International Journal of Engineering & Technology,3,3.0,1,1
International Journal of Environment,6,2.0,3,1
International Journal of Environment and Climate Change,0,0.0,2,1
International Journal of Environmental Research and Public Health,24,24.0,1,1
International Journal of Fauna and Biological Studies,0,0.0,1,1
International Journal of Food Microbiology,43,43.0,1,1
International Journal of Food Science & Technology,3,3.0,1,1
International Journal of Forest Engineering,4,4.0,1,1
International Journal of Fruit Science,79,15.8,5,3
International Journal of Genomics,4,4.0,1,1
International Journal of Horticultural Science,0,0.0,1,1
International Journal of Life Sciences,2,2.0,1,1
International Journal of Microbiology,10,10.0,1,1
International Journal of Modern Physics B,0,0.0,1,1
International Journal of Molecular Sciences,865,9.010416666666666,96,9
International Journal of Pest Management,610,10.0,61,11
International Journal of Pharmaceutical Quality Assurance,0,0.0,1,1
International Journal of Phytopathology,10,1.25,8,3
International Journal of Plant & Soil Science,0,0.0,13,4
International Journal of Plant Biology,0,0.0,1,1
International Journal of Plant Pathology,18,4.5,4,1
International Journal of Plant Pathology and Microbiology,0,0.0,1,1
International Journal of Plant Production,1,1.0,1,1
International Journal of Plant Sciences,0,0.0,1,1
International Journal of Radiation Biology,14,14.0,1,1
International Journal of Recycling of Organic Waste in Agriculture,16,16.0,1,1
International Journal of Scholarly Research in Biology and Pharmacy,0,0.0,1,1
International Journal of Sustainable Agricultural Management and Informatics,1,1.0,1,1
International Journal of Sustainable Agricultural Research,1,0.5,2,1
International Journal of Systematic and Evolutionary Microbiology,493,54.77777777777778,9,5
International Journal of Tropical Insect Science,12,4.0,3,3
International Journal of Vegetable Science,45,5.0,9,1
International Journal of Wildland Fire,26,13.0,2,1
International Microbiology,8,8.0,1,1
International Research Journal of Pharmacy,0,0.0,1,1
International Research Journal of Pure and Applied Chemistry,0,0.0,1,1
International Turfgrass Society Research Journal,6,2.0,3,2
Invertebrate Systematics,40,10.0,4,3
InvestigaciÃÂ³n y Ciencia de la Universidad AutÃÂ³noma de Aguascalientes,1,1.0,1,1
Iranian Journal of Biotechnology,51,51.0,1,1
Israel Journal of Plant Sciences,79,15.8,5,2
Italian Journal of Agronomy,7,3.5,2,1
Italian Journal of Food Safety,12,12.0,1,1
Izvestiya of Kabardino-Balkarian State Agrarian University named after V M Kokov,0,0.0,1,1
JOURNAL OF THE JAPANESE FORESTRY SOCIETY,218,9.478260869565217,23,2
JSM Mycotoxins,0,0.0,1,1
Japan Agricultural Research Quarterly JARQ,1,1.0,1,1
Japan Tappi Journal,0,0.0,1,1
Japanese Journal of Applied Entomology and Zoology,63,3.5,18,8
Japanese Journal of Phytopathology,304,15.2,20,7
Japanese Journal of Tropical Agriculture,0,0.0,1,1
Jordan Journal of Chemistry,1,1.0,1,1
Journal Of Advanced Zoology,0,0.0,1,1
Journal of Advances in Biology & Biotechnology,0,0.0,1,1
Journal of AgriSearch,4,4.0,1,1
Journal of Agricultural Chemistry and Biotechnology,2,1.0,2,1
Journal of Agricultural Science,46,2.1904761904761907,21,4
Journal of Agricultural Science and Environment,0,0.0,1,1
Journal of Agricultural Sciences,10,1.6666666666666667,6,3
Journal of Agricultural Sciences Belgrade,37,6.166666666666667,6,2
Journal of Agricultural Sciences Ã¢ÂÂ Sri Lanka,20,10.0,2,1
Journal of Agricultural and Food Chemistry,2960,34.02298850574713,87,8
Journal of Agriculture and Ecology Research International,0,0.0,1,1
Journal of Agriculture and Horticulture Research,1,1.0,1,1
Journal of Agriculture and Natural Resources,13,13.0,1,1
Journal of Agriculture and Social Research (JASR),2,1.0,2,2
Journal of Agriculture and Veterinary Science,0,0.0,1,1
Journal of Agronomy,1,1.0,1,1
Journal of Agronomy and Crop Science,10,3.3333333333333335,3,1
Journal of Animal and Veterinary Advances,21,21.0,1,1
Journal of Applied Biosciences,2,0.5,4,2
Journal of Applied Botany and Food Quality,2,2.0,1,1
Journal of Applied Ecology,50,25.0,2,1
Journal of Applied Entomology,425,20.238095238095237,21,6
Journal of Applied Genetics,25,25.0,1,1
Journal of Applied Horticulture,0,0.0,2,1
Journal of Applied Microbiology,507,24.142857142857142,21,7
Journal of Applied Phycology,141,23.5,6,2
Journal of Applied Sciences and Environmental Management,1,1.0,1,1
Journal of Applied and Advanced Research,0,0.0,1,1
Journal of Applied and Natural Science,2,0.3333333333333333,6,2
Journal of Arid Environments,16,16.0,1,1
Journal of Asia-Pacific Entomology,355,9.86111111111111,36,8
Journal of Asian Natural Products Research,49,7.0,7,2
Journal of Bacteriology,114,38.0,3,2
Journal of Basic Microbiology,121,9.307692307692308,13,5
Journal of Bio-Science,2,1.0,2,2
Journal of Biobased Materials and Bioenergy,1,0.5,2,1
Journal of Biological Chemistry,111,55.5,2,1
Journal of Biological Control,5,2.5,2,2
Journal of Biological Research-Thessaloniki,20,10.0,2,1
Journal of Biological Sciences,38,6.333333333333333,6,2
Journal of Biologically Active Products from Nature,6,6.0,1,1
Journal of Bioscience and Bioengineering,62,31.0,2,1
Journal of Biosciences,11,5.5,2,2
Journal of Biotechnology,16,8.0,2,1
Journal of Biotechnology Research Center,1,1.0,1,1
Journal of Biotechnology and Biodiversity,1,0.5,2,2
Journal of Cell Science,110,22.0,5,4
Journal of Chemical Ecology,1334,37.05555555555556,36,7
Journal of Chemistry,28,28.0,1,1
Journal of Chinese medicinal materials,0,0.0,2,1
Journal of Cluster Science,37,37.0,1,1
Journal of Comparative Physiology B,169,33.8,5,2
Journal of Cotton Science,3,3.0,1,1
Journal of Crop Breeding,2,1.0,2,1
Journal of Crop Improvement,9,4.5,2,2
Journal of Crop Science and Biotechnology,8,4.0,2,2
Journal of Developments in Sustainable Agriculture,20,20.0,1,1
Journal of Ecology,192,38.4,5,3
Journal of Ecology and Environment,1,1.0,1,1
Journal of Economic Entomology,183,10.166666666666666,18,5
Journal of Entomological Science,7,1.4,5,1
Journal of Entomological and Acarological Research,10,10.0,1,1
Journal of Entomology,10,5.0,2,1
Journal of Entomology and Nematology,65,5.0,13,3
Journal of Entomology and Zoology Studies,5,0.7142857142857143,7,3
Journal of Environmental & Analytical Toxicology,4,2.0,2,1
Journal of Environmental Biology,22,4.4,5,2
Journal of Environmental Horticulture,5,1.6666666666666667,3,3
Journal of Environmental Issues and Climate Change,0,0.0,2,1
Journal of Environmental Quality,38,12.666666666666666,3,1
Journal of Environmental Science,0,0.0,1,1
Journal of Environmental Science and Health Part B,188,13.428571428571429,14,3
Journal of Essential Oil Bearing Plants,27,4.5,6,3
Journal of Essential Oil Research,72,18.0,4,2
Journal of Ethnopharmacology,4,2.0,2,1
Journal of Experimental Agriculture International,4,0.5714285714285714,7,1
Journal of Experimental Biology,148,24.666666666666668,6,5
Journal of Experimental Botany,1276,41.16129032258065,31,5
Journal of Fertilizers & Pesticides,1,1.0,1,1
Journal of Fish Biology,2,1.0,2,1
Journal of Food Protection,55,27.5,2,2
Journal of Food Quality,1,1.0,1,1
Journal of Forest Research,370,16.818181818181817,22,1
Journal of Forestry Research,77,5.5,14,1
Journal of Fundamental and Applied Sciences,2,1.0,2,1
Journal of Fungi,102,6.375,16,6
Journal of General Plant Pathology,170,15.454545454545455,11,3
Journal of General Virology,350,35.0,10,5
Journal of Genetic Engineering and Biotechnology,9,4.5,2,1
Journal of Genetics,8,2.6666666666666665,3,2
Journal of Genetics and Genomics,3,1.5,2,2
Journal of Global Innovations in Agricultural Sciences,1,1.0,1,1
Journal of Hazardous Materials,42,21.0,2,2
Journal of Helminthology,707,7.364583333333333,96,14
Journal of Herbs Spices & Medicinal Plants,8,2.0,4,2
Journal of Heredity,46,15.333333333333334,3,2
Journal of Heterocyclic Chemistry,57,19.0,3,1
Journal of Horticultural Research,3,1.5,2,2
Journal of Horticultural Sciences,14,3.5,4,2
Journal of Horticulture and Forestry,1,1.0,1,1
Journal of Hydrology,10,10.0,1,1
Journal of Insect Behavior,33,33.0,1,1
Journal of Insect Science,6,3.0,2,1
Journal of Integrative Agriculture,215,5.657894736842105,38,7
Journal of Integrative Plant Biology,113,16.142857142857142,7,4
Journal of Invertebrate Pathology,384,18.285714285714285,21,11
Journal of Japan Society of Civil Engineers Ser G (Environmental Research),2,1.0,2,1
Journal of Kerbala for Agricultural Sciences,0,0.0,1,1
Journal of King Saud University - Science,30,6.0,5,1
Journal of Life Science,4,2.0,2,2
Journal of Life and Bio Sciences Research,1,0.5,2,1
Journal of Medicinal Plants Research,1,1.0,1,1
Journal of Microbiological Methods,7,7.0,1,1
Journal of Microbiology,58,19.333333333333332,3,1
Journal of Microbiology Biotechnology and Food Sciences,8,2.6666666666666665,3,2
Journal of Microbiology and Biotechnology,74,12.333333333333334,6,3
Journal of Microscopy,19,19.0,1,1
Journal of Microwave Power and Electromagnetic Energy,6,6.0,1,1
Journal of Molecular Evolution,280,28.0,10,4
Journal of Molecular Structure,1,0.3333333333333333,3,1
Journal of Morphology,0,0.0,1,1
Journal of Nanobiotechnology,5,5.0,1,1
Journal of Natural History,2,0.6666666666666666,3,3
Journal of Natural Medicines,1,1.0,1,1
Journal of Natural Pesticide Research,1,0.5,2,2
Journal of Natural Products,166,33.2,5,3
Journal of Natural Resources and Life Sciences Education,0,0.0,1,1
Journal of Nematology,28203,13.05090236001851,2161,30
Journal of New Seeds,13,6.5,2,2
Journal of Parasitic Diseases,28,4.666666666666667,6,4
Journal of Parasitology,57,9.5,6,6
Journal of Pest Science,577,9.158730158730158,63,11
Journal of Pesticide Science,12,6.0,2,2
Journal of Pharmacognosy and Phytochemistry,2,2.0,1,1
Journal of Pharmacological Sciences,4,4.0,1,1
Journal of Phytopathology,1954,17.446428571428573,112,12
Journal of Plant Biochemistry and Biotechnology,90,45.0,2,2
Journal of Plant Biology,28,14.0,2,1
Journal of Plant Diseases and Protection,506,6.170731707317073,82,9
Journal of Plant Growth Regulation,16,4.0,4,2
Journal of Plant Interactions,103,11.444444444444445,9,2
Journal of Plant Nutrition,56,7.0,8,3
Journal of Plant Pathology,0,0.0,1,1
Journal of Plant Pathology & Microbiology,8,2.0,4,1
Journal of Plant Physiology,187,17.0,11,4
Journal of Plant Production,0,0.0,11,1
Journal of Plant Protection Research,597,14.214285714285714,42,8
Journal of Plant Protection and Pathology,55,0.55,100,5
Journal of Plant Registrations,374,6.233333333333333,60,5
Journal of Plant Research,15,7.5,2,1
Journal of Plant Sciences,10,10.0,1,1
Journal of Plant and Environment,0,0.0,1,1
Journal of Pollution Effects & Control,6,6.0,1,1
Journal of Proteome Research,31,15.5,2,1
Journal of Proteomics,14,7.0,2,1
Journal of Saudi Chemical Society,8,8.0,1,1
Journal of Science and Sustainable Development,0,0.0,1,1
Journal of Science and Technology (Ghana),10,3.3333333333333335,3,2
Journal of Science and Technology of Greenhouse Culture,0,0.0,2,1
Journal of Science of the University of Kelaniya Sri Lanka,0,0.0,1,1
Journal of Scientific Agriculture,0,0.0,1,1
Journal of Scientific Research and Reports,0,0.0,1,1
Journal of Soil Science,63,63.0,1,1
Journal of Soil Science and Plant Nutrition,46,15.333333333333334,3,2
Journal of Spices and Aromatic Crops,3,1.5,2,1
Journal of Structural Biology,9,9.0,1,1
Journal of Sustainable Agriculture,65,8.125,8,2
Journal of Synthetic Organic Chemistry Japan,0,0.0,1,1
Journal of The Royal Society Interface,83,83.0,1,1
Journal of Theoretical Biology,3,3.0,1,1
Journal of Thermal Biology,15,15.0,1,1
Journal of Threatened Taxa,0,0.0,1,1
Journal of Tropical Ecology,6,6.0,1,1
Journal of Ultrastructure Research,144,24.0,6,4
Journal of Vegetable Science,14,7.0,2,1
Journal of Vietnamese Environment,1,1.0,1,1
Journal of Virological Methods,34,17.0,2,2
Journal of Virology,31,31.0,1,1
Journal of Visualized Experiments,13,3.25,4,3
Journal of Weed Science and Technology,6,6.0,1,1
Journal of Wood Science,10,10.0,1,1
Journal of Xenobiotics,10,10.0,1,1
Journal of Zhejiang University-SCIENCE B,186,23.25,8,1
Journal of Zoological Systematics & Evolutionary Research,110,27.5,4,3
Journal of Zoology,118,16.857142857142858,7,3
Journal of the Advances in Agricultural Researches,1,1.0,1,1
Journal of the American Society for Horticultural Science,603,13.704545454545455,44,7
Journal of the Brazilian Chemical Society,3,3.0,1,1
Journal of the Japanese Forest Society,87,3.625,24,1
Journal of the Japanese Society of Revegetation Technology,4,4.0,1,1
Journal of the National Science Foundation of Sri Lanka,1,0.5,2,2
Journal of the Plant Protection Society,1,1.0,1,1
Journal of the Saudi Society of Agricultural Sciences,31,5.166666666666667,6,2
Journal of the Society of Materials Science Japan,0,0.0,1,1
Journal of the Yamashina Institute for Ornithology,10,10.0,1,1
Jurnal AgroBiogen,1,1.0,1,1
Jurnal Agroekoteknologi Tropika Lembab,0,0.0,1,1
Jurnal Agrotek Tropika,0,0.0,1,1
Jurnal Fitopatologi Indonesia,23,1.2105263157894737,19,6
Jurnal Hama Dan Penyakit Tumbuhan Tropika,6,1.0,6,3
Jurnal Ilmu-Ilmu Pertanian Indonesia,2,2.0,1,1
Jurnal Natur Indonesia,0,0.0,3,2
Jurnal Penelitian Pertanian Tanaman Pangan,0,0.0,1,1
Jurnal Penelitian Pertanian Terapan,0,0.0,1,1
Jurnal Penelitian Tanaman Industri,5,0.8333333333333334,6,3
Jurnal Penelitian dan Pengembangan Pertanian,0,0.0,1,1
Jurnal Perlindungan Tanaman Indonesia,32,2.4615384615384617,13,5
Jurnal Sains Pertanian Equator,0,0.0,1,1
KSÃÂ DoÃÂa Bilimleri Dergisi,0,0.0,1,1
Kahramanmara? SÃ¼tÃ§Ã¼ ?mam Ãniversitesi Tar?m ve Do?a Dergisi,14,4.666666666666667,3,2
KahramanmaraÃÂ SÃÂ¼tÃÂ§ÃÂ¼ ÃÂ°mam ÃÂniversitesi TarÃÂ±m ve DoÃÂa Dergisi,24,2.0,12,6
Karbala International Journal of Modern Science,20,20.0,1,1
Kartofel` i ovoshi,0,0.0,2,2
Key Engineering Materials,3,1.5,2,1
Kingdom (The Journal of Biological Studies),0,0.0,1,1
Koedoe,16,3.2,5,4
Korean Journal of Crop Science,0,0.0,1,1
Korean Journal of Fisheries and Aquatic Sciences,2,2.0,1,1
Korean Journal of Horticultural Science&Technology,10,10.0,1,1
Korean Journal of Remote Sensing,11,11.0,1,1
Korean Journal of Soil Science and Fertilizer,6,6.0,1,1
Korean journal of applied entomology,44,4.0,11,8
Kurdistan Journal of Applied Research,0,0.0,1,1
Kyushu Plant Protection Research,80,2.1621621621621623,37,5
La Granja,0,0.0,1,1
La TÃÂ©cnica Revista de las Agrociencias ISSN 2477-8982,1,1.0,1,1
Lab on a Chip,13,13.0,1,1
Lebanese Science Journal,0,0.0,1,1
Legume Research - An International Journal,0,0.0,4,1
Lesnoy Zhurnal (Forestry Journal),7,1.75,4,2
Lethaia,6,6.0,1,1
Letters in Applied Microbiology,340,30.90909090909091,11,4
Letters in Drug Design & Discovery,23,23.0,1,1
Letters in Organic Chemistry,17,8.5,2,1
Life,41,2.7333333333333334,15,5
Lipids,62,62.0,1,1
MINAR International Journal of Applied Sciences and Technology,0,0.0,1,1
MOKUZAI HOZON (Wood Protection),0,0.0,3,1
Maderas Ciencia y TecnologÃÂ­a,1,1.0,1,1
Madras Agricultural Journal,3,0.1875,16,4
Main Group Metal Chemistry,1,1.0,1,1
Manas Journal of Agriculture Veterinary and Life Sciences,0,0.0,1,1
Manglar,1,1.0,1,1
Marine Drugs,125,25.0,5,3
Materiale Plastice,8,8.0,1,1
Materials Letters,1,1.0,1,1
Materials Today Proceedings,3,3.0,1,1
Mathematical Biosciences,7,7.0,1,1
Mathematics,0,0.0,1,1
Medicinal Chemistry Research,7,7.0,1,1
Mediterranean Agricultural Sciences,0,0.0,1,1
Mehmet Akif Ersoy ÃÂniversitesi Fen Bilimleri EnstitÃÂ¼sÃÂ¼ Dergisi,1,0.5,2,1
Menoufia Journal of Plant Production,0,0.0,1,1
Menoufia Journal of Plant Protection,3,0.2727272727272727,11,4
Mesopotamia Journal of Agriculture,3,0.5,6,3
Metabolomics,58,29.0,2,1
MethodsX,11,3.6666666666666665,3,2
Microbes and Environments,27,13.5,2,2
Microbial Biotechnology,32,32.0,1,1
Microbial Cell Factories,60,30.0,2,1
Microbial Ecology,359,35.9,10,5
Microbial Genomics,18,18.0,1,1
Microbial Pathogenesis,158,19.75,8,1
Microbial Physiology,13,13.0,1,1
Microbiological Research,321,14.590909090909092,22,5
Microbiology,135,45.0,3,3
Microbiology Resource Announcements,30,4.285714285714286,7,4
Microbiology Spectrum,14,7.0,2,2
MicrobiologyOpen,73,24.333333333333332,3,2
Microbiome,95,95.0,1,1
Microchemical Journal,35,11.666666666666666,3,1
Micron,54,13.5,4,4
Microorganisms,208,8.0,26,5
Microscopy and Microanalysis,2,2.0,1,1
Mikrobiolohichnyi Zhurnal,5,5.0,1,1
MindRxiv,0,0.0,1,1
Minia Journal of Agricultural Research and Development,0,0.0,1,1
Ministry of Science and Technology Vietnam,0,0.0,1,1
Mitochondrial DNA Part A,3,1.5,2,2
Mitochondrial DNA Part B,3,1.5,2,1
Molecular & Cellular Proteomics,9,9.0,1,1
Molecular Biology Reports,67,8.375,8,5
Molecular Biology and Evolution,350,58.333333333333336,6,4
Molecular Breeding,1181,39.36666666666667,30,5
Molecular Ecology,553,27.65,20,5
Molecular Ecology Resources,159,14.454545454545455,11,4
Molecular Genetics and Genomics,1005,45.68181818181818,22,7
Molecular Phylogenetics and Evolution,436,54.5,8,6
Molecular Plant,148,49.333333333333336,3,1
Molecular Plant Pathology,7390,57.286821705426355,129,9
Molecular Plant-Microbe Interactions,5619,75.93243243243244,74,6
Molecular and Biochemical Parasitology,755,35.95238095238095,21,7
Molecular and Cellular Probes,231,28.875,8,5
Molecules,596,15.68421052631579,38,5
Molecules and Cells,57,19.0,3,1
Monoclonal Antibodies in Immunodiagnosis and Immunotherapy,29,29.0,1,1
Multi-Science Journal,2,0.4,5,2
Multimedia Tools and Applications,10,10.0,1,1
Mustafa Kemal ÃÂniversitesi TarÃÂ±m Bilimleri Dergisi,1,1.0,1,1
MycoKeys,14,14.0,1,1
Mycobiology,22,5.5,4,3
Mycologia,370,19.473684210526315,19,5
Mycological Progress,52,13.0,4,3
Mycology: An International Journal on Fungal Biology,23,11.5,2,1
Mycopathologia,102,51.0,2,2
Mycorrhiza,712,47.46666666666667,15,4
Mycoscience,6,6.0,1,1
NZGA Research and Practice Series,13,4.333333333333333,3,2
NanoImpact,3,3.0,1,1
Nanomaterials,39,9.75,4,3
Nanotechnology Reviews,1,1.0,1,1
National Academy Science Letters,15,7.5,2,1
Nativa,1,0.5,2,2
Natural Product Communications,7,2.3333333333333335,3,1
Natural Product Research,350,16.666666666666668,21,4
Natural Products Chemistry & Research,10,10.0,1,1
Natural Products and Bioprospecting,31,31.0,1,1
Natural Resource Modeling,10,5.0,2,1
Nature,1657,35.255319148936174,47,11
Nature Biotechnology,1443,360.75,4,1
Nature Communications,213,53.25,4,3
Nature Food,1,1.0,1,1
Nature Precedings,2,0.6666666666666666,3,1
Nature Sustainability,8,4.0,2,1
Natures Sciences SociÃÂ©tÃÂ©s,3,3.0,1,1
Nematological Research (Japanese Journal of Nematology),1033,4.611607142857143,224,15
Nematology,15785,15.163304514889528,1041,30
NeoBiota,0,0.0,2,1
Neotropical Entomology,32,10.666666666666666,3,3
Netherlands Journal of Agricultural Science,48,12.0,4,2
Neurobiology of Aging,1,1.0,1,1
New Forests,11,11.0,1,1
New Phytologist,3109,58.660377358490564,53,5
New Zealand Entomologist,4,4.0,1,1
New Zealand Journal of Agricultural Research,617,12.591836734693878,49,4
New Zealand Journal of Crop and Horticultural Science,277,9.892857142857142,28,6
New Zealand Journal of Zoology,236,10.26086956521739,23,8
New Zealand Plant Protection,27,4.5,6,3
Nigeria Agricultural Journal,0,0.0,1,1
Notulae Botanicae Horti Agrobotanici Cluj-Napoca,48,8.0,6,2
Notulae Scientia Biologicae,15,3.0,5,2
Novel Research in Microbiology Journal,2,2.0,1,1
Nucleic Acids Research,137,68.5,2,2
Nutrient Cycling in Agroecosystems,30,30.0,1,1
OALib,1,1.0,1,1
OENO One,5,1.6666666666666667,3,3
Odesa National University Herald Biology,0,0.0,1,1
Oecologia,253,31.625,8,4
Oikos,122,30.5,4,1
One Health & Risk Management,0,0.0,2,1
Open Agriculture,4,2.0,2,1
Open Biology,5,5.0,1,1
Organic Agriculture,9,9.0,1,1
Ornamental Horticulture,10,1.6666666666666667,6,3
Outlooks on Pest Management,14,4.666666666666667,3,3
Ozone Science and Engineering,17,8.5,2,2
PANS,6,1.2,5,4
PANS Pest Articles & News Summaries,9,4.5,2,1
PLANT ARCHIVES,0,0.0,3,2
PLOS Genetics,378,126.0,3,2
PLOS Neglected Tropical Diseases,113,113.0,1,1
PLOS ONE,4801,28.076023391812864,171,15
PLOS Pathogens,1528,72.76190476190476,21,7
POMICULTURE & SMALL FRUITS CULTURE IN RUSSIA,1,0.5,2,1
PROCEEDINGS ON APPLIED BOTANY GENETICS AND BREEDING,2,2.0,1,1
Pak-Euro Journal of Medical and LifeÃÂ Sciences,0,0.0,1,1
Pakistan Journal of Agriculture Agricultural Engineering and Veterinary Sciences,0,0.0,1,1
Pakistan Journal of Biological Sciences,114,3.5625,32,5
Pakistan Journal of Medical & Health Sciences,0,0.0,2,1
Pakistan Journal of Pharmaceutical Sciences,2,2.0,1,1
Pakistan Journal of Phytopathology,4,4.0,1,1
Parasite,129,43.0,3,2
Parasites & Vectors,50,12.5,4,3
Parasitologia,0,0.0,2,1
Parasitology,2099,23.852272727272727,88,11
Parasitology Research,409,29.214285714285715,14,7
Pathogens,55,4.583333333333333,12,5
Peanut Science,54,10.8,5,2
Pedobiologia,173,17.3,10,5
Pedosphere,0,0.0,1,1
PeerJ,106,21.2,5,4
Pelita Perkebunan (a Coffee and Cocoa Research Journal),8,0.8,10,2
Peptides,18,18.0,1,1
Periodicum Biologorum,0,0.0,1,1
Perspectives in Plant Ecology Evolution and Systematics,17,17.0,1,1
Pesquisa AgropecuÃÂ¡ria Brasileira,243,10.565217391304348,23,7
Pesquisa AgropecuÃÂ¡ria Tropical,37,2.8461538461538463,13,3
Pesquisa AgropecuÃ¡ria Brasileira,40,5.714285714285714,7,3
Pesquisa AgropecuÃ¡ria Tropical,1,0.5,2,2
Pest Management Science,3087,22.05,140,10
Pesticide Biochemistry and Physiology,553,14.945945945945946,37,7
Pesticidi i Fitomedicina,1,0.5,2,1
Pharmaceutical Biology,11,5.5,2,2
Pharmacological Research,25,25.0,1,1
Philosophical Transactions of the Royal Society B Biological Sciences,21,21.0,1,1
Phosphorus Sulfur and Silicon and the Related Elements,10,3.3333333333333335,3,2
Photochemical & Photobiological Sciences,1,1.0,1,1
Photonics,4,4.0,1,1
Physiologia Plantarum,96,12.0,8,3
