title,authors,pub_year,journal,citations,Genus,Species
Comparative Evaluation of the LAMP Assay and PCR-Based Assays for the Rapid Detection of Alternaria solani,"Khan, Mehran; Wang, Rongbo; Li, Benjin; Liu, Peiqing; Weng, Qiyong; Chen, Qinghe",2018,Frontiers in Microbiology,88,aphelenchoides,solani
Bursaphelenchus species in conifers in Europe: distribution and morphological relationships,"Braasch, H.",2001,EPPO Bulletin,88,bursaphelenchus,xylophilus
Identification of potential host plant mimics of CLAVATA3/ESR (CLE)?like peptides from the plant?parasitic nematode Heterodera schachtii,"WANG, JIANYING; REPLOGLE, AMY; HUSSEY, RICHARD; BAUM, THOMAS; WANG, XIAOHONG; DAVIS, ERIC L.; MITCHUM, MELISSA G.",2010,Molecular Plant Pathology,88,heterodera,schachtii
Characterization of resistance to pine wood nematode infection in Pinus thunbergiiusing suppression subtractive hybridization,"Hirao, Tomonori; Fukatsu, Eitaro; Watanabe, Atsushi",2012,BMC Plant Biology,88,bursaphelenchus,xylophilus
"Detection and quantification of root-knot nematode (Meloidogyne javanica), lesion nematode (Pratylenchus zeae) and dagger nematode (Xiphinema elongatum) parasites of sugarcane using real-time PCR","Berry, Shaun D.; Fargette, Mireille; Spaull, Vaughan W.; Morand, Serge; Cadet, Patrice",2008,Molecular and Cellular Probes,88,meloidogyne,javanica
Cloning and characterization of pectate lyases expressed in the esophageal gland of the pine wood nematode Bursaphelenchus xylophilus.,"Kikuchi, Taisei; Shibuya, Hajime; Aikawa, Takuya; Jones, John T",2006,Molecular Plant-Microbe Interactions,87,bursaphelenchus,xylophilus
Resistance to rootÃ¢ÂÂknot nematode in tomato roots expressing a nematicidal Bacillus thuringiensis crystal protein,"Li, Xiang-Qian; Wei, Jun-Zhi; Tan, Anderson; Aroian, Raffi V",2007,Plant Biotechnology Journal,87,meloidogyne,incognita
"Framework for Modelling Economic Impacts of Invasive Species, Applied to Pine Wood Nematode in Europe","Soliman, Tarek; Mourits, Monique C. M.; van der Werf, Wopke; Hengeveld, Geerten M.; Robinet, Christelle; Lansink, Alfons G. J. M. Oude",2012,PLOS ONE,87,bursaphelenchus,xylophilus
A Technique for Determining Live Second-stage Juveniles of Heterodera glycines.,"Chen, S Y; Dickson, D W",2000,Journal of Nematology,87,heterodera,glycines
Interactions between Meloidogyne incognita and endophytic bacteria in cotton and cucumber,"Hallmann, J.; Quadt-Hallmann, A.; RodrÃÂ±ÃÂguez-KÃÂ¡bana, R.; Kloepper, J.W.",1998,Soil Biology and Biochemistry,87,meloidogyne,incognita
"Comparative genomics of apomictic root-knot nematodes: hybridization, ploidy, and dynamic genome change","Szitenberg, Amir; Salazar-Jaramillo, Laura; Blok, Vivian C.; Laetsch, Dominik R.; Joseph, Soumi; Williamson, Valerie M.; Blaxter, Mark L.; Lunt, David H.",2017,Genome Biology and Evolution,87,meloidogyne,incognita
Modes of action associated with microbially induced in planta suppression of plant-parasitic nematodes,"Sikora, R. A.; SchÃÂ¤fer, K.; Dababat, A. A.",2007,Australasian Plant Pathology,87,globodera,pallida
Resistance to root?knot nematode in tomato roots expressing a nematicidal Bacillus thuringiensis crystal protein,"Li, Xiang-Qian; Wei, Jun-Zhi; Tan, Anderson; Aroian, Raffi V",2007,Plant Biotechnology Journal,87,meloidogyne,incognita
Silencing a candidate nematode effector gene corresponding to the tomato resistance gene Mi-1 leads to acquisition of virulence.,"Gleason, Cynthia A; Liu, Qingli L; Williamson, Valerie M",2008,Molecular Plant-Microbe Interactions,87,meloidogyne,javanica
A molecular phylogenetic approach to Longidoridae (Nematoda: Dorylaimida),"Rubtsova, Tatiana; Moens, Maurice; Lamberti, Franco; He, Yu; Brown, Derek; Subbotin, Sergei",2005,Nematology,87,xiphinema,americanum
Diversity among landraces of Indian snapmelon (Cucumis melo var. momordica),"Dhillon, N. P. S.; Ranjana, R.; Singh, Kuldeep; Eduardo, I.; Monforte, A. J.; Pitrat, M.; Dhillon, N. K.; Singh, P. P.",2006,Genetic Resources and Crop Evolution,87,meloidogyne,incognita
Effectors of B. xylophilus,"Espada, Margarida; Silva, Ana ClÃÂ¡udia; Eves van den Akker, Sebastian; Cock, Peter J A; Mota, Manuel; Jones, John T",2015,Molecular Plant Pathology,86,bursaphelenchus,xylophilus
Invasion of a Reef-builder Polychaete: Direct and Indirect Impacts on the Native Benthic Community Structure,"Schwindt, Evangelina; Bortolus, Alejandro; Iribarne, Oscar Osvaldo",2001,Biological Invasions,86,hemicycliophora,similis
High-efficiency induction of soybean hairy roots and propagation of the soybean cyst nematode,"Cho, Hyeon-Je; Farrand, Stephen K.; Noel, Gregory R.; Widholm, Jack M.",2000,Planta,86,heterodera,glycines
Effectors of B. xylophilus,"Espada, Margarida; Silva, Ana ClÃ¡udia; Eves van den Akker, Sebastian; Cock, Peter J A; Mota, Manuel; Jones, John T",2015,Molecular Plant Pathology,86,bursaphelenchus,xylophilus
"Distribution of Determinants for Symptom Production, Host Range and Nematode Transmissibility between the two RNA Components of Raspberry Ringspot Virus","Harrison, B. D.; Murant, A. F.; Mayo, M. A.; Roberts, I. M.",1974,Journal of General Virology,86,longidorus,elongatus
"Nematicidal activity of essential oils and volatiles derived from Portuguese aromatic flora against the pinewood nematode, Bursaphelenchus xylophilus.","Barbosa, P; Lima, A S; Vieira, P; Dias, L S; Tinoco, M T; Barroso, J G; Pedro, L G; Figueiredo, A C; Mota, M",2010,Journal of Nematology,86,bursaphelenchus,xylophilus
Msp40 effector of root-knot nematode manipulates plant immunity to facilitate parasitism,"Niu, Junhai; Liu, Pei; Liu, Qian; Chen, Changlong; Guo, Quanxin; Yin, Junmei; Yang, Guangsui; Jian, Heng",2016,Scientific Reports,86,meloidogyne,incognita
Recent advances in biological control of important native and invasive forest pests in China,"Yang, Zhong-Qi; Wang, Xiao-Yi; Zhang, Yi-Nan",2014,Biological Control,86,bursaphelenchus,xylophilus
High-efficiency induction of soybean hairy roots and propagation of the soybean cyst nematode,"Cho, Hyeon-Je; Farrand, Stephen K.; Noel, Gregory R.; Widholm, Jack M.",2000,Planta,86,heterodera,glycines
Identifying discriminative classification-based motifs in biological sequences,"Vens, Celine; Rosso, Marie-NoÃÂ«lle; Danchin, Etienne G. J.",2011,Bioinformatics,86,meloidogyne,incognita
High-nitrogen compost as a medium for organic container-grown crops,"Raviv, Michael; Oka, Yuji; Katan, Jaacov; Hadar, Yitzhak; Yogev, Anat; Medina, Shlomit; Krasnovsky, Arkady; Ziadna, Hammam",2005,Bioresource Technology,85,meloidogyne,javanica
Nematicidal activity of some essential plant oils,"Sangwan, Naresh K.; Verma, Braham S.; Verma, Kailash K.; Dhindsa, Kuldip S.",1990,Pest Management Science,85,heterodera,cajani
Management of the root-knot nematode Meloidogyne incognita on tomato with combinations of different biocontrol organisms,"Hashem, Mohamed; Abo-Elyousr, Kamal A.",2011,Crop Protection,85,meloidogyne,incognita
Nematicidal activity of some essential plant oils,"Sangwan, Naresh K.; Verma, Braham S.; Verma, Kailash K.; Dhindsa, Kuldip S.",1990,Pest Management Science,85,heterodera,cajani
"Chemotaxis of the Pinewood Nematode, Bursaphelenchus xylophilus, to Volatiles Associated with Host Pine, Pinus massoniana, and its Vector Monochamus alternatus","Zhao, Li Lin; Wei, Wei; Kang, Le; Sun, Jiang Hua",2007,Journal of Chemical Ecology,85,bursaphelenchus,xylophilus
Novel quantitative trait loci for broad-based resistance to soybean cyst nematode (Heterodera glycines Ichinohe) in soybean PI 567516C,"Vuong, Tri D.; Sleper, David A.; Shannon, James G.; Nguyen, Henry T.",2010,Theoretical and Applied Genetics,85,heterodera,glycines
Induction Patterns of an Extensin Gene in Tobacco upon Nematode Infection.,"Niebel, A.; De Almeida Engler, J.; Tire, C.; Engler, G.; Van Montagu, M.; Gheysen, G.",1993,The Plant Cell,85,globodera,tabacum
Novel quantitative trait loci for broad-based resistance to soybean cyst nematode (Heterodera glycines Ichinohe) in soybean PI 567516C,"Vuong, Tri D.; Sleper, David A.; Shannon, James G.; Nguyen, Henry T.",2010,Theoretical and Applied Genetics,85,heterodera,glycines
Construction of a genetic linkage map and identification of AFLP markers for resistance to root-knot nematodes in peach rootstocks,"Lu, Zhen-Xiang; Sosinski, B; Reighard, G L; Baird, W V; Abbott, A G",1998,Genome,85,meloidogyne,javanica
A multipartite mitochondrial genome in the potato cyst nematode Globodera pallida.,"Armstrong, Miles R; Blok, Vivian C; Phillips, Mark S",2000,Genetics,85,globodera,pallida
Management of the root-knot nematode Meloidogyne incognita on tomato with combinations of different biocontrol organisms,"Hashem, Mohamed; Abo-Elyousr, Kamal A.",2011,Crop Protection,85,meloidogyne,incognita
Identification and functional characterization of effectors in expressed sequence tags from various life cycle stages of the potato cyst nematode Globodera pallida,"JONES, JOHN T.; KUMAR, AMAR; PYLYPENKO, LILIYA A.; THIRUGNANASAMBANDAM, AMARNATH; CASTELLI, LYDIA; CHAPMAN, SEAN; COCK, PETER J. A.; GRENIER, ERIC; LILLEY, CATHERINE J.; PHILLIPS, MARK S.; BLOK, VIVIAN C.",2009,Molecular Plant Pathology,85,globodera,pallida
Extraction andÃÂ partial characterization ofÃÂ polyphenol oxidase from banana (MusaÃÂ acuminata Grande naine) roots,"Wuyts, Nathalie; De Waele, Dirk; Swennen, Rony",2006,Plant Physiology and Biochemistry,84,radopholus,similis
"A surface-associated retinol- and fatty acid-binding protein (Gp-FAR-1) from the potato cyst nematode Globodera pallida: lipid binding activities, structural analysis and expression pattern","PRIOR, Alison; JONES, John T.; BLOK, Vivian C.; BEAUCHAMP, Jeremy; McDERMOTT, Lindsay; COOPER, Alan; KENNEDY, Malcolm W.",2001,Biochemical Journal,84,globodera,pallida
Biocontrol of Meloidogyne javanica by Rhizobium and plant growth-promoting rhizobacteria on lentil,"Siddiqui, Zaki A.; Baghel, G.; Akhtar, M. S.",2006,World Journal of Microbiology and Biotechnology,84,meloidogyne,javanica
"A surface-associated retinol- and fatty acid-binding protein (Gp-FAR-1) from the potato cyst nematode Globodera pallida: lipid binding activities, structural analysis and expression pattern","PRIOR, Alison; JONES, John T.; BLOK, Vivian C.; BEAUCHAMP, Jeremy; McDERMOTT, Lindsay; COOPER, Alan; KENNEDY, Malcolm W.",2001,Biochemical Journal,84,globodera,pallida
Conversion of AFLP bands into high-throughput DNA markers,"Meksem, K.; Ruben, E.; Hyten, D.; Triwitayakorn, K.; Lightfoot, D.A.",2001,Molecular Genetics and Genomics,83,heterodera,glycines
Variation in resistance to the rootÃ¢ÂÂknot nematode Meloidogyne incognita in tomato genotypes bearing the Mi gene,"Jacquet, M.; Bongiovanni, M.; Martinez, M.; Verschave, P.; Wajnberg, E.; CastagnoneÃ¢ÂÂSereno, P.",2005,Plant Pathology,83,meloidogyne,javanica
Conversion of AFLP bands into high-throughput DNA markers,"Meksem, K.; Ruben, E.; Hyten, D.; Triwitayakorn, K.; Lightfoot, D.A.",2001,Molecular Genetics and Genomics,83,heterodera,glycines
In planta secretion of a calreticulin by migratory and sedentary stages of root-knot nematode.,"Jaubert, StÃÂ©phanie; Milac, Adina L; Petrescu, Andrei J; de Almeida-Engler, Janice; Abad, Pierre; Rosso, Marie-NoÃÂ«lle",2005,Molecular Plant-Microbe Interactions,83,meloidogyne,incognita
"Alfalfa (Medicago sativa L.) resistance to the root-lesion nematode, Pratylenchus penetrans: defense-response gene mRNA and isoflavonoid phytoalexin levels in roots","Baldridge, Gerald D.; O'Neill, Nichole R.; Samac, Deborah A.",1998,Plant Molecular Biology,83,pratylenchus,penetrans
"Alfalfa (Medicago sativa L.) resistance to the root-lesion nematode, Pratylenchus penetrans: defense-response gene mRNA and isoflavonoid phytoalexin levels in roots","Baldridge, Gerald D.; O'Neill, Nichole R.; Samac, Deborah A.",1998,Plant Molecular Biology,83,pratylenchus,penetrans
Arbuscular mycorrhizal fungi induce systemic resistance in tomato against the sedentary nematode Meloidogyne incognita and the migratory nematode Pratylenchus penetrans,"Vos, C.M.; Tesfahun, A.N.; Panis, B.; De Waele, D.; Elsen, A.",2012,Applied Soil Ecology,83,meloidogyne,incognita
Chemotaxis can take plant-parasitic nematodes to the source of a chemo-attractant via the shortest possible routes,"Reynolds, Andy M.; Dutta, Tushar K.; Curtis, Rosane H. C.; Powers, Stephen J.; Gaur, Hari S.; Kerry, Brian R.",2010,Journal of The Royal Society Interface,83,meloidogyne,incognita
QTL mapping for resistance to root-knot nematodes in the M-120 RNR Upland cotton line (Gossypium hirsutum L.) of the Auburn 623 RNR source,"Shen, Xinlian; Van Becelaere, Guillermo; Kumar, Pawan; Davis, Richard F.; May, O. Lloyd; Chee, Peng",2006,Theoretical and Applied Genetics,83,meloidogyne,incognita
Control of root-knot nematodes by composted agro-industrial wastes in potting mixtures,"Nico, AndrÃÂ©s I.; JimÃÂ©nez-DÃÂ±ÃÂaz, Rafael M.; Castillo, Pablo",2004,Crop Protection,82,meloidogyne,javanica
"A surface-associated retinol- and fatty acid-binding protein (Gp-FAR-1) from the potato cyst nematode Globodera pallida: lipid binding activities, structural analysis and expression pattern.","Prior, A; Jones, J T; Blok, V C; Beauchamp, J; McDermott, L; Cooper, A; Kennedy, M W",2001,Biochemical Journal,82,globodera,pallida
A QTL for broad-spectrum resistance to cyst nematode species (Globodera spp.) maps to a resistance gene cluster in potato,"van der Voort, J. Rouppe; Lindeman, W.; Folkertsma, R.; Hutten, R.; Overmars, H.; van der Vossen, E.; Jacobsen, E.; Bakker, J.",1998,Theoretical and Applied Genetics,82,globodera,pallida
A QTL for broad-spectrum resistance to cyst nematode species (Globodera spp.) maps to a resistance gene cluster in potato,"van der Voort, J. Rouppe; Lindeman, W.; Folkertsma, R.; Hutten, R.; Overmars, H.; van der Vossen, E.; Jacobsen, E.; Bakker, J.",1998,Theoretical and Applied Genetics,82,globodera,pallida
Apoplastic Venom Allergen-like Proteins of Cyst Nematodes Modulate the Activation of Basal Plant Innate Immunity by Cell Surface Receptors,"Lozano-Torres, Jose L.; Wilbers, Ruud H. P.; Warmerdam, Sonja; Finkers-Tomczak, Anna; Diaz-Granados, Amalia; van Schaik, Casper C.; Helder, Johannes; Bakker, Jaap; Goverse, Aska; Schots, Arjen; Smant, Geert",2014,PLOS Pathogens,82,globodera,rostochiensis
"Molecular cloning and characterisation of a venom allergen AG5-like cDNA from Meloidogyne incognita1Note: Nucleotide sequence data reported in this paper are available in the EMBL, GenBank and DDJB databases under the accession number AF013289.1","Ding, X; Shields, J; Allen, R; Hussey, R.S",2000,International Journal for Parasitology,82,heterodera,glycines
The Effector SPRYSEC-19 of Globodera rostochiensis Suppresses ---Mediated Disease Resistance in Plants ÃÂ  ÃÂ  ÃÂ ,"Postma, Wiebe J.; Slootweg, Erik J.; Rehman, Sajid; Finkers-Tomczak, Anna; Tytgat, Tom O.G.; van Gelderen, Kasper; Lozano-Torres, Jose L.; Roosien, Jan; Pomp, Rikus; van Schaik, Casper; Bakker, Jaap; Goverse, Aska; Smant, Geert",2012,Plant Physiology,82,globodera,rostochiensis
A potato hypersensitive resistance gene against potato virus X maps to a resistance gene cluster on chromosome 5,"De Jong, W.; , A. Forsyth; Leister, D.; Gebhardt, C.; Baulcombe, D.C.",1997,Theoretical and Applied Genetics,82,globodera,pallida
Functional complementation of rice blast resistance gene Pi-kh(Pi54) conferring resistance to diverse strains of Magnaporthe oryzae,"Rai, Amit Kumar; Kumar, Satya Pal; Gupta, Santosh Kumar; Gautam, Naveen; Singh, Nagendera Kumar; Sharma, Tilak Raj",2011,Journal of Plant Biochemistry and Biotechnology,82,meloidogyne,oryzae
"Genome Information of Methylobacterium oryzae, a Plant-Probiotic Methylotroph in the Phyllosphere","Kwak, Min-Jung; Jeong, Haeyoung; Madhaiyan, Munusamy; Lee, Yi; Sa, Tong-Min; Oh, Tae Kwang; Kim, Jihyun F.",2014,PLOS ONE,82,meloidogyne,oryzae
"Reniform in U.S. Cotton: When, Where, Why, and Some Remedies1","Robinson, A Forest",2007,Annual Review of Phytopathology,81,meloidogyne,incognita
CONTROL OF RED RING DISEASE BY MASS TRAPPING OF RHYNCHOPHORUS PALMARUM (COLEOPTERA: CURCULIONIDAE),"Oehlschlager, A. C.; Chinchilla, Carlos; Castillo, Geovani; Gonzalez, Lilliana",2002,Florida Entomologist,81,bursaphelenchus,cocophilus
"Plant growthÃ¢ÂÂpromoting rhizobacteria, Paenibacillus polymyxa and Paenibacillus lentimorbus suppress disease complex caused by rootÃ¢ÂÂknot nematode and fusarium wilt fungus","Son, S.H.; Khan, Z.; Kim, S.G.; Kim, Y.H.",2009,Journal of Applied Microbiology,81,meloidogyne,incognita
Efficacy of biocontrol agents in planting mixes to colonize plant roots and control root diseases of vegetables and citrus,"Nemec, S.; Datnoff, L.E.; Strandberg, J.",1996,Crop Protection,81,pratylenchus,capsici
The heat-stable root-knot nematode resistance gene Mi-9 from Lycopersicon peruvianum is localized on the short arm of chromosome 6,"Ammiraju, J.; Veremis, J.; Huang, X.; Roberts, P.; Kaloshian, I.",2002,Theoretical and Applied Genetics,81,meloidogyne,javanica
Spread of the pinewood nematode vectored by the Japanese pine sawyer: modeling and analytical approaches,"Togashi, Katsumi; Shigesada, Nanako",2006,Population Ecology,81,bursaphelenchus,xylophilus
Essential Oils as Potent Source of Nematicidal Compounds,"Pandey, R.; Kalra, A.; Tandon, S.; Mehrotra, N.; Singh, H. N.; Kumar, S.",2000,Journal of Phytopathology,81,meloidogyne,incognita
Bacterial parasite of a plant nematode: morphology and ultrastructure.,"Sayre, R M; Wergin, W P",1977,Journal of Bacteriology,81,meloidogyne,incognita
"Grafting for Management of Southern Root-Knot Nematode, Meloidogyne incognita, in Watermelon.","Thies, Judy A; Ariss, Jennifer J; Hassell, Richard L; Olson, Steve; Kousik, Chandrasekar S; Levi, Amnon",2010,Plant Disease,81,meloidogyne,incognita
"The interaction of the novel 30C02 cyst nematode effector protein with a plant ÃÂ²-1,3-endoglucanase may suppress host defence to promote parasitism","Hamamouch, Noureddine; Li, Chunying; Hewezi, Tarek; Baum, Thomas J.; Mitchum, Melissa G.; Hussey, Richard S.; Vodkin, Lila O.; Davis, Eric L.",2012,Journal of Experimental Botany,81,heterodera,glycines
"Plant growth?promoting rhizobacteria, Paenibacillus polymyxa and Paenibacillus lentimorbus suppress disease complex caused by root?knot nematode and fusarium wilt fungus","Son, S.H.; Khan, Z.; Kim, S.G.; Kim, Y.H.",2009,Journal of Applied Microbiology,81,meloidogyne,incognita
"The interaction of the novel 30C02 cyst nematode effector protein with a plant ?-1,3-endoglucanase may suppress host defence to promote parasitism","Hamamouch, Noureddine; Li, Chunying; Hewezi, Tarek; Baum, Thomas J.; Mitchum, Melissa G.; Hussey, Richard S.; Vodkin, Lila O.; Davis, Eric L.",2012,Journal of Experimental Botany,81,heterodera,glycines
The ever-expanding neuropeptide gene families in the nematode Caenorhabditis elegans,"LI, C.",2005,Parasitology,81,heterodera,glycines
"Biological control of the root-knot nematode, Meloidogyne incognita on tomato using bioproducts of microbial origin","Radwan, M.A.; Farrag, S.A.A.; Abu-Elamayem, M.M.; Ahmed, N.S.",2012,Applied Soil Ecology,81,meloidogyne,incognita
"Expression of an Arabidopsis phosphoglycerate mutase homologue is localized to apical meristems, regulated by hormones, and induced by sedentary plant-parasitic nematodes","Mazarei, Mitra; Lennon, Kristen A.; Puthoff, David P.; Rodermel, Steven R.; Baum, Thomas J.",2003,Plant Molecular Biology,81,heterodera,glycines
MODELING THE SPREAD OF PINE WILT DISEASE CAUSED BY NEMATODES WITH PINE SAWYERS AS VECTOR,"Yoshimura, Akiko; Kawasaki, Kohkichi; Takasu, Fugo; Togashi, Katsumi; Futai, Kazuyoshi; Shigesada, Nanako",1999,Ecology,81,bursaphelenchus,xylophilus
Phylogenetic Analyses of Meloidogyne Small Subunit rDNA.,"De Ley, Irma Tandingan; De Ley, Paul; Vierstraete, Andy; Karssen, Gerrit; Moens, Maurice; Vanfleteren, Jacques",2002,Journal of Nematology,80,globodera,pallida
Loci underlying resistance to Race 3 of soybean cyst nematode in Glycine soja plant introduction 468916,"Wang, D.; Diers, B. W.; Arelli, P. R.; Shoemaker, R. C.",2001,Theoretical and Applied Genetics,80,heterodera,glycines
Marker enrichment and high-resolution map of the segment of potato chromosome VII harbouring the nematode resistance gene Gro1,"Ballvora, Agim; Hesselbach, Josef; NiewÃ¶hner, Jens; Leister, Dario; Salamini, Francesco; Gebhardt, Christiane",1995,Molecular Genetics and Genomics,80,globodera,rostochiensis
Expressed sequence tag (EST) analysis of the pine wood nematode Bursaphelenchus xylophilus and B. mucronatus,"Kikuchi, Taisei; Aikawa, Takuya; Kosaka, Hajime; Pritchard, Leighton; Ogura, Nobuo; Jones, John T.",2007,Molecular and Biochemical Parasitology,80,bursaphelenchus,xylophilus
Progress in breeding wheat for tolerance and resistance to root-lesion nematode (Pratylenchus thornei),"Thompson, J. P.; Brennan, P. S.; Clewett, T. G.; Sheedy, J. G.; Seymour, N. P.",1999,Australasian Plant Pathology,80,pratylenchus,thornei
A ubiquitin carboxyl extension protein secreted from a plant?parasitic nematode Globodera rostochiensis is cleaved in planta to promote plant parasitism,"Chronis, Demosthenis; Chen, Shiyan; Lu, Shunwen; Hewezi, Tarek; Carpenter, Sara C.D.; Loria, Rosemary; Baum, Thomas J.; Wang, Xiaohong",2013,The Plant Journal,80,globodera,rostochiensis
Plant Quarantine as a Measure Against Invasive Alien Species: The Framework of the International Plant Protection Convention and the plant health regulations in the European Union,"Schrader, Gritta; Unger, Jens-Georg",2003,Biological Invasions,80,bursaphelenchus,xylophilus
Formation of wall openings in root cells of Arabidopsis thaliana following infection by the plant-parasitic nematode Heterodera schachtii,"Grundler, Florian M.W.; Sobczak, Miroslaw; Golinowski, Wladyslaw",1998,European Journal of Plant Pathology,80,heterodera,schachtii
Mapping of the root lesion nematode (Pratylenchus neglectus) resistance gene Rlnn1 in wheat,"Williams, K.; Taylor, S.; Bogacki, P.; Pallotta, M.; Bariana, H.; Wallwork, H.",2002,Theoretical and Applied Genetics,80,pratylenchus,neglectus
"The pine-wood nematode, Bursaphelenchusxylophilus, in Minnesota and Wisconsin: insect associates and transmission studies","Wingfield, M. J.; Blanchette, R. A.",1983,Canadian Journal of Forest Research,80,bursaphelenchus,xylophilus
Use of Rhizobacteria in the Control of Root RotÃ¢ÂÂRoot Knot Disease Complex of Mungbean,"Siddiqui, I. Ali; EhetshamulÃ¢ÂÂHaque, S.; Shaukat, S. Shahid",2001,Journal of Phytopathology,80,meloidogyne,javanica
Tomato progeny inherit resistance to the nematode Meloidogyne javanica linked to plant growth induced by the biocontrol fungus Trichoderma atroviride,"Medeiros, Hugo Agripino de; AraÃÂºjo Filho, JerÃÂ´nimo Vieira de; Freitas, Leandro Grassi de; Castillo, Pablo; Rubio, MarÃÂ­a BelÃÂ©n; Hermosa, Rosa; Monte, Enrique",2017,Scientific Reports,80,meloidogyne,javanica
Loci underlying resistance to Race 3 of soybean cyst nematode in Glycine soja plant introduction 468916,"Wang, D.; Diers, B. W.; Arelli, P. R.; Shoemaker, R. C.",2001,Theoretical and Applied Genetics,80,heterodera,glycines
Use of Rhizobacteria in the Control of Root RotÂRoot Knot Disease Complex of Mungbean,"Siddiqui, I. Ali; Ehetshamul?Haque, S.; Shaukat, S. Shahid",2001,Journal of Phytopathology,80,meloidogyne,javanica
Inducible Flavone in Oats (Avena sativa) Is a Novel Defense Against Plant-Parasitic Nematodes.,"Soriano, I R; Asenstorfer, R E; Schmidt, O; Riley, I T",2004,Phytopathology,80,ditylenchus,dipsaci
A ubiquitin carboxyl extension protein secreted from a plantÃ¢ÂÂparasitic nematode Globodera rostochiensis is cleaved in planta to promote plant parasitism,"Chronis, Demosthenis; Chen, Shiyan; Lu, Shunwen; Hewezi, Tarek; Carpenter, Sara C.D.; Loria, Rosemary; Baum, Thomas J.; Wang, Xiaohong",2013,The Plant Journal,80,globodera,rostochiensis
Continual green-fluorescent protein monitoring of cauliflower mosaic virus 35S promoter activity in nematode-induced feeding cells in Arabidopsis thaliana.,"Urwin, P E; MÃÂ¸ller, S G; Lilley, C J; McPherson, M J; Atkinson, H J",1997,Molecular Plant-Microbe Interactions,79,heterodera,schachtii
CandidatusLiberibacter americanus induces significant reprogramming of the transcriptome of the susceptible citrus genotype,"Mafra, ValÃÂ©ria; Martins, Polyana K; Francisco, Carolina S; Ribeiro-Alves, Marcelo; Freitas-AstÃÂºa, Juliana; Machado, Marcos A",2013,BMC Genomics,79,longidorus,americanus
Rhizosphere bacteria antagonistic to soybean cyst (Heterodera glycines) and root-knot (Meloidogyne incognita) nematodes: Identification by fatty acid analysis and frequency of biological control activity,"Kloepper, Joseph W.; RodrÃÂ­guez-KÃÂ¡bana, Rodrigo; McInroy, John A.; Young, Rebecca W.",1992,Plant and Soil,79,heterodera,schachtii
Two additive QTLs conferring broad-spectrum resistance in potato to Globodera pallida are localized on resistance gene clusters,"Rouppe van der Voort, J.; van der Vossen, E.; Bakker, E.; Overmars, H.; van Zandvoort, P.; Hutten, R.; Klein Lankhorst, R.; Bakker, J.",2000,Theoretical and Applied Genetics,79,globodera,pallida
"OsWRKY22, a monocot WRKY gene, plays a role in the resistance response to blast","ABBRUSCATO, PAMELA; NEPUSZ, TAMÃÂS; MIZZI, LUCA; DEL CORVO, MARCELLO; MORANDINI, PIERO; FUMASONI, IRENE; MICHEL, CORINNE; PACCANARO, ALBERTO; GUIDERDONI, EMMANUEL; SCHAFFRATH, ULRICH; MOREL, JEANÃ¢ÂÂBENOÃÂT; PIFFANELLI, PIETRO; FAIVREÃ¢ÂÂRAMPANT, ODILE",2012,Molecular Plant Pathology,79,meloidogyne,oryzae
"Ultrastructure of the hypersensitive reaction in roots of tomato, Lycopersicon esculentum L., to infection by the root-knot nematode, Meloidogyne incognita","Paulson, Ronald E.; Webster, John M.",1972,Physiological and Molecular Plant Pathology,79,meloidogyne,incognita
Characteristics and applications of a recombinant alkaline serine protease from a novel bacterium Bacillus lehensis,"Joshi, Swati; Satyanarayana, T.",2012,Bioresource Technology,79,meloidogyne,incognita
Purification and Characterization of a Novel Hypersensitive Response-Inducing Elicitor from Magnaporthe oryzae that Triggers Defense Response in Rice,"Chen, Mingjia; Zeng, Hongmei; Qiu, Dewen; Guo, Lihua; Yang, Xiufen; Shi, Huaixing; Zhou, Tingting; Zhao, Jing",2012,PLOS ONE,79,meloidogyne,oryzae
Carbon source-dependent antifungal and nematicidal volatiles derived during anaerobic soil disinfestation,"Hewavitharana, Shashika Shivanthi; Ruddell, David; Mazzola, Mark",2014,European Journal of Plant Pathology,79,pratylenchus,penetrans
Biological Control of Meloidogyne incognita by Spore-forming Plant Growth-promoting Rhizobacteria on Cotton.,"Xiang, Ni; Lawrence, Kathy S; Kloepper, Joseph W; Donald, Patricia A; McInroy, John A; Lawrence, Gary W",2017,Plant Disease,79,meloidogyne,incognita
Morphological and Molecular Characterization of Meloidogyne mayaguensis Isolates from Florida.,"Brito, J; Powers, T O; Mullin, P G; Inserra, R N; Dickson, D W",2004,Journal of Nematology,78,meloidogyne,enterolobii
Diversity of Bacteria Associated with Bursaphelenchus xylophilus and Other Nematodes Isolated from Pinus pinaster Trees with Pine Wilt Disease,"ProenÃÂ§a, Diogo Neves; Francisco, Romeu; Santos, Clara Vieira; Lopes, AndrÃÂ©; Fonseca, LuÃÂ­s; Abrantes, Isabel M. O.; Morais, Paula V.",2010,PLOS ONE,78,bursaphelenchus,xylophilus
